"Drug","Pathway","Start","End","Type","Strength"
"erlotinib","Apoptosis","CNA_CASP7","CNA_BAD","und",6e-04
"erlotinib","Apoptosis","CNA_CASP7","CNA_BIRC2","und",1e-04
"erlotinib","Apoptosis","CNA_CASP7","CNA_BCL2","und",4e-04
"erlotinib","Apoptosis","CNA_CASP7","CNA_BAX","und",0.0042
"erlotinib","Apoptosis","CNA_CASP7","CNA_BCL2L11","und",0.0073
"erlotinib","Apoptosis","CNA_CASP7","CNA_BID","und",6e-04
"erlotinib","Apoptosis","CNA_CASP7","CNA_BAK1","und",2e-04
"erlotinib","Apoptosis","CNA_BAD","CNA_BIRC2","und",0.9992
"erlotinib","Apoptosis","CNA_BAD","CNA_BCL2","und",4e-04
"erlotinib","Apoptosis","CNA_BAD","CNA_BCL2L11","und",8e-04
"erlotinib","Apoptosis","CNA_BAD","CNA_BCL2L1","und",0.0152
"erlotinib","Apoptosis","CNA_BAD","CNA_BID","und",2e-04
"erlotinib","Apoptosis","CNA_BIRC2","CNA_BCL2L1","und",0.0013
"erlotinib","Apoptosis","CNA_BIRC2","CNA_BID","und",2e-04
"erlotinib","Apoptosis","CNA_BCL2","CNA_BAX","und",1e-04
"erlotinib","Apoptosis","CNA_BCL2","CNA_BCL2L11","und",2e-04
"erlotinib","Apoptosis","CNA_BCL2","CNA_BCL2L1","und",5e-04
"erlotinib","Apoptosis","CNA_BCL2","CNA_BID","und",1e-04
"erlotinib","Apoptosis","CNA_BCL2","CNA_BAK1","und",0.0015
"erlotinib","Apoptosis","CNA_BAX","CNA_BCL2L11","und",2e-04
"erlotinib","Apoptosis","CNA_BAX","CNA_BCL2L1","und",2e-04
"erlotinib","Apoptosis","CNA_BAX","CNA_BID","und",3e-04
"erlotinib","Apoptosis","CNA_BCL2L11","CNA_BCL2L1","und",0.0044
"erlotinib","Apoptosis","CNA_BCL2L11","CNA_BID","und",0.0082
"erlotinib","Apoptosis","CNA_BCL2L1","CNA_BID","und",2e-04
"erlotinib","Apoptosis","CNA_BCL2L1","CNA_BAK1","und",1e-04
"erlotinib","Apoptosis","mRNA_BAD","mRNA_BID","und",0.0178
"erlotinib","Apoptosis","mRNA_BAD","mRNA_BAK1","und",0.9489
"erlotinib","Apoptosis","mRNA_BAD","mRNA_BAX","und",0.2247
"erlotinib","Apoptosis","mRNA_BAD","mRNA_BIRC2","und",0.0239
"erlotinib","Apoptosis","mRNA_BAD","mRNA_BCL2L11","und",0.0275
"erlotinib","Apoptosis","mRNA_BAD","mRNA_CASP7","und",0.0098
"erlotinib","Apoptosis","mRNA_BAD","mRNA_BCL2L1","und",0.0446
"erlotinib","Apoptosis","mRNA_BAD","mRNA_BCL2","und",0.0061
"erlotinib","Apoptosis","mRNA_BID","mRNA_BAK1","und",0.0037
"erlotinib","Apoptosis","mRNA_BID","mRNA_BAX","und",0.119
"erlotinib","Apoptosis","mRNA_BID","mRNA_BIRC2","und",0.0047
"erlotinib","Apoptosis","mRNA_BID","mRNA_BCL2L11","und",0.049
"erlotinib","Apoptosis","mRNA_BID","mRNA_CASP7","und",0.006
"erlotinib","Apoptosis","mRNA_BID","mRNA_BCL2L1","und",0.008
"erlotinib","Apoptosis","mRNA_BID","mRNA_BCL2","und",0.0086
"erlotinib","Apoptosis","mRNA_BAK1","mRNA_BAX","und",0.0199
"erlotinib","Apoptosis","mRNA_BAK1","mRNA_BIRC2","und",0.0178
"erlotinib","Apoptosis","mRNA_BAK1","mRNA_BCL2L11","und",0.0074
"erlotinib","Apoptosis","mRNA_BAK1","mRNA_CASP7","und",0.6338
"erlotinib","Apoptosis","mRNA_BAK1","mRNA_BCL2L1","und",0.0298
"erlotinib","Apoptosis","mRNA_BAK1","mRNA_BCL2","und",0.0056
"erlotinib","Apoptosis","mRNA_BAX","mRNA_BIRC2","und",0.0332
"erlotinib","Apoptosis","mRNA_BAX","mRNA_BCL2L11","und",0.0073
"erlotinib","Apoptosis","mRNA_BAX","mRNA_CASP7","und",0.098
"erlotinib","Apoptosis","mRNA_BAX","mRNA_BCL2L1","und",0.3278
"erlotinib","Apoptosis","mRNA_BAX","mRNA_BCL2","und",0.0137
"erlotinib","Apoptosis","mRNA_BIRC2","mRNA_BCL2L11","und",0.0169
"erlotinib","Apoptosis","mRNA_BIRC2","mRNA_CASP7","und",0.0075
"erlotinib","Apoptosis","mRNA_BIRC2","mRNA_BCL2L1","und",0.0329
"erlotinib","Apoptosis","mRNA_BIRC2","mRNA_BCL2","und",0.0048
"erlotinib","Apoptosis","mRNA_BCL2L11","mRNA_CASP7","und",0.0057
"erlotinib","Apoptosis","mRNA_BCL2L11","mRNA_BCL2L1","und",0.0088
"erlotinib","Apoptosis","mRNA_BCL2L11","mRNA_BCL2","und",0.9586
"erlotinib","Apoptosis","mRNA_CASP7","mRNA_BCL2L1","und",0.0065
"erlotinib","Apoptosis","mRNA_CASP7","mRNA_BCL2","und",0.0089
"erlotinib","Apoptosis","mRNA_BCL2L1","mRNA_BCL2","und",0.0067
"erlotinib","Apoptosis","RPPA_BAD","RPPA_BAK1","und",0.0441
"erlotinib","Apoptosis","RPPA_BAD","RPPA_BAX","und",0.8969
"erlotinib","Apoptosis","RPPA_BAD","RPPA_BCL2","und",0.0811
"erlotinib","Apoptosis","RPPA_BAD","RPPA_BCL2L1","und",0.1253
"erlotinib","Apoptosis","RPPA_BAD","RPPA_BID","und",0.0283
"erlotinib","Apoptosis","RPPA_BAD","RPPA_BCL2L11","und",0.0876
"erlotinib","Apoptosis","RPPA_BAD","RPPA_CASP7","und",0.0469
"erlotinib","Apoptosis","RPPA_BAD","RPPA_BIRC2","und",0.0137
"erlotinib","Apoptosis","RPPA_BAK1","RPPA_BAX","und",0.0304
"erlotinib","Apoptosis","RPPA_BAK1","RPPA_BCL2","und",0.0402
"erlotinib","Apoptosis","RPPA_BAK1","RPPA_BCL2L1","und",0.0425
"erlotinib","Apoptosis","RPPA_BAK1","RPPA_BID","und",0.8342
"erlotinib","Apoptosis","RPPA_BAK1","RPPA_BCL2L11","und",0.0472
"erlotinib","Apoptosis","RPPA_BAK1","RPPA_CASP7","und",0.1617
"erlotinib","Apoptosis","RPPA_BAK1","RPPA_BIRC2","und",0.267
"erlotinib","Apoptosis","RPPA_BAX","RPPA_BCL2","und",0.0485
"erlotinib","Apoptosis","RPPA_BAX","RPPA_BCL2L1","und",0.0746
"erlotinib","Apoptosis","RPPA_BAX","RPPA_BID","und",0.0355
"erlotinib","Apoptosis","RPPA_BAX","RPPA_BCL2L11","und",0.0406
"erlotinib","Apoptosis","RPPA_BAX","RPPA_CASP7","und",0.0566
"erlotinib","Apoptosis","RPPA_BAX","RPPA_BIRC2","und",0.042
"erlotinib","Apoptosis","RPPA_BCL2","RPPA_BCL2L1","und",0.2332
"erlotinib","Apoptosis","RPPA_BCL2","RPPA_BID","und",0.1584
"erlotinib","Apoptosis","RPPA_BCL2","RPPA_BCL2L11","und",0.4617
"erlotinib","Apoptosis","RPPA_BCL2","RPPA_CASP7","und",0.0805
"erlotinib","Apoptosis","RPPA_BCL2","RPPA_BIRC2","und",0.0421
"erlotinib","Apoptosis","RPPA_BCL2L1","RPPA_BID","und",0.986
"erlotinib","Apoptosis","RPPA_BCL2L1","RPPA_BCL2L11","und",0.0298
"erlotinib","Apoptosis","RPPA_BCL2L1","RPPA_CASP7","und",0.1172
"erlotinib","Apoptosis","RPPA_BCL2L1","RPPA_BIRC2","und",0.3409
"erlotinib","Apoptosis","RPPA_BID","RPPA_BCL2L11","und",0.0677
"erlotinib","Apoptosis","RPPA_BID","RPPA_CASP7","und",0.4378
"erlotinib","Apoptosis","RPPA_BID","RPPA_BIRC2","und",0.1096
"erlotinib","Apoptosis","RPPA_BCL2L11","RPPA_CASP7","und",0.3809
"erlotinib","Apoptosis","RPPA_BCL2L11","RPPA_BIRC2","und",0.02
"erlotinib","Apoptosis","RPPA_CASP7","RPPA_BIRC2","und",0.0478
"erlotinib","Apoptosis","CNA_CASP7","mRNA_BAD","dir",0.0248
"erlotinib","Apoptosis","CNA_CASP7","mRNA_BID","dir",0.0299
"erlotinib","Apoptosis","CNA_CASP7","mRNA_BAK1","dir",0.0457
"erlotinib","Apoptosis","CNA_CASP7","mRNA_BAX","dir",0.0387
"erlotinib","Apoptosis","CNA_CASP7","mRNA_BIRC2","dir",0.0761
"erlotinib","Apoptosis","CNA_CASP7","mRNA_BCL2L11","dir",0.0682
"erlotinib","Apoptosis","CNA_CASP7","mRNA_CASP7","dir",0.7211
"erlotinib","Apoptosis","CNA_CASP7","mRNA_BCL2L1","dir",0.0511
"erlotinib","Apoptosis","CNA_CASP7","mRNA_BCL2","dir",0.1138
"erlotinib","Apoptosis","CNA_CASP7","RPPA_BAD","dir",0.0476
"erlotinib","Apoptosis","CNA_CASP7","RPPA_BAK1","dir",0.0523
"erlotinib","Apoptosis","CNA_CASP7","RPPA_BAX","dir",0.0393
"erlotinib","Apoptosis","CNA_CASP7","RPPA_BCL2","dir",0.0345
"erlotinib","Apoptosis","CNA_CASP7","RPPA_BCL2L1","dir",0.0581
"erlotinib","Apoptosis","CNA_CASP7","RPPA_BID","dir",0.0604
"erlotinib","Apoptosis","CNA_CASP7","RPPA_BCL2L11","dir",0.034
"erlotinib","Apoptosis","CNA_CASP7","RPPA_CASP7","dir",0.0619
"erlotinib","Apoptosis","CNA_CASP7","RPPA_BIRC2","dir",0.0381
"erlotinib","Apoptosis","CNA_BAD","mRNA_BAD","dir",0.9347
"erlotinib","Apoptosis","CNA_BAD","mRNA_BID","dir",0.039
"erlotinib","Apoptosis","CNA_BAD","mRNA_BAK1","dir",0.0696
"erlotinib","Apoptosis","CNA_BAD","mRNA_BAX","dir",0.0311
"erlotinib","Apoptosis","CNA_BAD","mRNA_BIRC2","dir",0.0282
"erlotinib","Apoptosis","CNA_BAD","mRNA_BCL2L11","dir",0.0407
"erlotinib","Apoptosis","CNA_BAD","mRNA_CASP7","dir",0.0381
"erlotinib","Apoptosis","CNA_BAD","mRNA_BCL2L1","dir",0.0858
"erlotinib","Apoptosis","CNA_BAD","mRNA_BCL2","dir",0.0273
"erlotinib","Apoptosis","CNA_BAD","RPPA_BAD","dir",0.0338
"erlotinib","Apoptosis","CNA_BAD","RPPA_BAK1","dir",0.0702
"erlotinib","Apoptosis","CNA_BAD","RPPA_BAX","dir",0.0606
"erlotinib","Apoptosis","CNA_BAD","RPPA_BCL2","dir",0.0445
"erlotinib","Apoptosis","CNA_BAD","RPPA_BCL2L1","dir",0.0412
"erlotinib","Apoptosis","CNA_BAD","RPPA_BID","dir",0.0784
"erlotinib","Apoptosis","CNA_BAD","RPPA_BCL2L11","dir",0.0285
"erlotinib","Apoptosis","CNA_BAD","RPPA_CASP7","dir",0.0658
"erlotinib","Apoptosis","CNA_BAD","RPPA_BIRC2","dir",0.6216
"erlotinib","Apoptosis","CNA_BIRC2","mRNA_BAD","dir",0.0323
"erlotinib","Apoptosis","CNA_BIRC2","mRNA_BID","dir",0.0283
"erlotinib","Apoptosis","CNA_BIRC2","mRNA_BAK1","dir",0.2621
"erlotinib","Apoptosis","CNA_BIRC2","mRNA_BAX","dir",0.4034
"erlotinib","Apoptosis","CNA_BIRC2","mRNA_BIRC2","dir",0.999
"erlotinib","Apoptosis","CNA_BIRC2","mRNA_BCL2L11","dir",0.0419
"erlotinib","Apoptosis","CNA_BIRC2","mRNA_CASP7","dir",0.0351
