"Pathway","Exposure","Mediator","Outcome","IED","PIP_IED","IEC","PIP_IEC","IE","PIP_IE"
"Apoptosis","CNA_CASP7","mRNA_BAD","Drug_erlotinib","-1.803e-05","0.001","-2.408e-05","0.0046","6.05e-06","0.0056"
"Apoptosis","CNA_CASP7","mRNA_BID","Drug_erlotinib","-3.74e-06","0.0021","2.51e-06","0.0012","-6.26e-06","0.0031"
"Apoptosis","CNA_CASP7","mRNA_BAK1","Drug_erlotinib","1.79e-06","0.0017","-3.271e-05","0.0146","3.45e-05","0.0158"
"Apoptosis","CNA_CASP7","mRNA_BAX","Drug_erlotinib","2.93e-06","7e-04","-2e-08","8e-04","2.94e-06","0.0014"
"Apoptosis","CNA_CASP7","mRNA_BIRC2","Drug_erlotinib","-9.43e-06","0.0024","9.3e-07","4e-04","-1.037e-05","0.0028"
"Apoptosis","CNA_CASP7","mRNA_BCL2L11","Drug_erlotinib","2.41e-06","0.0021","-3.5e-06","0.0036","5.91e-06","0.0057"
"Apoptosis","CNA_CASP7","mRNA_CASP7","Drug_erlotinib","-0.0038301","0.1024","1.572e-05","0.0041","-0.00384582","0.104"
"Apoptosis","CNA_CASP7","mRNA_BCL2L1","Drug_erlotinib","3.348e-05","0.0026","-1.8e-07","6e-04","3.366e-05","0.0032"
"Apoptosis","CNA_CASP7","mRNA_BCL2","Drug_erlotinib","2.33e-05","0.0062","1.485e-05","0.0046","8.45e-06","0.01"
"Apoptosis","CNA_CASP7","Protein_BAD","Drug_erlotinib","5.35e-06","0.0029","-1.163e-05","0.0047","1.698e-05","0.0072"
"Apoptosis","CNA_CASP7","Protein_BAK1","Drug_erlotinib","-2.799e-05","0.0016","-1.16e-06","0.0021","-2.683e-05","0.0035"
"Apoptosis","CNA_CASP7","Protein_BAX","Drug_erlotinib","-1.144e-05","0.0011","3.5e-07","8e-04","-1.179e-05","0.0019"
"Apoptosis","CNA_CASP7","Protein_BCL2","Drug_erlotinib","-1.844e-05","0.0011","1.39e-06","0.0023","-1.983e-05","0.0034"
"Apoptosis","CNA_CASP7","Protein_BCL2L1","Drug_erlotinib","-1.7e-07","0.0053","3.38e-06","0.0024","-3.55e-06","0.0075"
"Apoptosis","CNA_CASP7","Protein_BID","Drug_erlotinib","-2.01e-05","0.0041","-7.86e-06","0.0133","-1.224e-05","0.0171"
"Apoptosis","CNA_CASP7","Protein_BCL2L11","Drug_erlotinib","-3.75e-06","0.001","1.38e-06","0.0028","-5.13e-06","0.0038"
"Apoptosis","CNA_CASP7","Protein_CASP7","Drug_erlotinib","6.11e-06","0.0032","2.67e-06","0.0022","3.44e-06","0.0054"
"Apoptosis","CNA_CASP7","Protein_BIRC2","Drug_erlotinib","1.116e-05","0.0017","5e-08","0.0022","1.112e-05","0.0037"
"Apoptosis","CNA_BAD","mRNA_BAD","Drug_erlotinib","0.00116302","0.0473","-5.07e-05","0.0054","0.00121372","0.0488"
"Apoptosis","CNA_BAD","mRNA_BID","Drug_erlotinib","2.754e-05","0.002","-1.7e-06","0.0015","2.924e-05","0.0035"
"Apoptosis","CNA_BAD","mRNA_BAK1","Drug_erlotinib","-4.62e-06","0.0032","-0.00022431","0.0303","0.00021969","0.0308"
"Apoptosis","CNA_BAD","mRNA_BAX","Drug_erlotinib","-4.41e-06","0.0018","-1.368e-05","0.0074","9.27e-06","0.0087"
"Apoptosis","CNA_BAD","mRNA_BIRC2","Drug_erlotinib","-7.7e-07","8e-04","5.8e-07","0.001","-1.35e-06","0.0018"
"Apoptosis","CNA_BAD","mRNA_BCL2L11","Drug_erlotinib","-1.77e-05","0.002","-7.76e-06","0.0024","-9.94e-06","0.004"
"Apoptosis","CNA_BAD","mRNA_CASP7","Drug_erlotinib","3.375e-05","0.0039","4.85e-06","0.0069","2.89e-05","0.0106"
"Apoptosis","CNA_BAD","mRNA_BCL2L1","Drug_erlotinib","-5.017e-05","0.005","-7.58e-06","0.0031","-4.259e-05","0.0079"
"Apoptosis","CNA_BAD","mRNA_BCL2","Drug_erlotinib","-3.12e-06","0.0024","-4.87e-06","0.0021","1.74e-06","0.0045"
"Apoptosis","CNA_BAD","Protein_BAD","Drug_erlotinib","2.877e-05","0.0027","-1.645e-05","0.0042","4.522e-05","0.0067"
"Apoptosis","CNA_BAD","Protein_BAK1","Drug_erlotinib","-1.468e-05","0.0024","8.17e-06","0.0077","-2.285e-05","0.0096"
"Apoptosis","CNA_BAD","Protein_BAX","Drug_erlotinib","-4.383e-05","0.0027","1.727e-05","0.0024","-6.11e-05","0.005"
"Apoptosis","CNA_BAD","Protein_BCL2","Drug_erlotinib","-2.4e-06","0.0021","-1.328e-05","0.0033","1.089e-05","0.0053"
"Apoptosis","CNA_BAD","Protein_BCL2L1","Drug_erlotinib","-2.134e-05","0.0039","1.952e-05","0.0087","-4.086e-05","0.012"
