"Pathway","Exposure","Mediator","Outcome","individual_IE","PIP_individual_IE","IED","PIP_IED","IEC","PIP_IEC"
"Apoptosis","CNA_CASP7","mRNA_BAD","Drug_erlotinib","6.05e-06","0.0056","-1.803e-05","0.001","2.408e-05","0.0046"
"Apoptosis","CNA_CASP7","mRNA_BID","Drug_erlotinib","-6.26e-06","0.0031","-3.74e-06","0.0021","-2.51e-06","0.0012"
"Apoptosis","CNA_CASP7","mRNA_BAK1","Drug_erlotinib","3.45e-05","0.0158","1.79e-06","0.0017","3.271e-05","0.0146"
"Apoptosis","CNA_CASP7","mRNA_BAX","Drug_erlotinib","2.94e-06","0.0014","2.93e-06","7e-04","2e-08","8e-04"
"Apoptosis","CNA_CASP7","mRNA_BIRC2","Drug_erlotinib","-1.037e-05","0.0028","-9.43e-06","0.0024","-9.3e-07","4e-04"
"Apoptosis","CNA_CASP7","mRNA_BCL2L11","Drug_erlotinib","5.91e-06","0.0057","2.41e-06","0.0021","3.5e-06","0.0036"
"Apoptosis","CNA_CASP7","mRNA_CASP7","Drug_erlotinib","-0.00384582","0.104","-0.0038301","0.1024","-1.572e-05","0.0041"
"Apoptosis","CNA_CASP7","mRNA_BCL2L1","Drug_erlotinib","3.366e-05","0.0032","3.348e-05","0.0026","1.8e-07","6e-04"
"Apoptosis","CNA_CASP7","mRNA_BCL2","Drug_erlotinib","8.45e-06","0.01","2.33e-05","0.0062","-1.485e-05","0.0046"
"Apoptosis","CNA_CASP7","Protein_BAD","Drug_erlotinib","1.698e-05","0.0072","5.35e-06","0.0029","1.163e-05","0.0047"
"Apoptosis","CNA_CASP7","Protein_BAK1","Drug_erlotinib","-2.683e-05","0.0035","-2.799e-05","0.0016","1.16e-06","0.0021"
"Apoptosis","CNA_CASP7","Protein_BAX","Drug_erlotinib","-1.179e-05","0.0019","-1.144e-05","0.0011","-3.5e-07","8e-04"
"Apoptosis","CNA_CASP7","Protein_BCL2","Drug_erlotinib","-1.983e-05","0.0034","-1.844e-05","0.0011","-1.39e-06","0.0023"
"Apoptosis","CNA_CASP7","Protein_BCL2L1","Drug_erlotinib","-3.55e-06","0.0075","-1.7e-07","0.0053","-3.38e-06","0.0024"
"Apoptosis","CNA_CASP7","Protein_BID","Drug_erlotinib","-1.224e-05","0.0171","-2.01e-05","0.0041","7.86e-06","0.0133"
"Apoptosis","CNA_CASP7","Protein_BCL2L11","Drug_erlotinib","-5.13e-06","0.0038","-3.75e-06","0.001","-1.38e-06","0.0028"
"Apoptosis","CNA_CASP7","Protein_CASP7","Drug_erlotinib","3.44e-06","0.0054","6.11e-06","0.0032","-2.67e-06","0.0022"
"Apoptosis","CNA_CASP7","Protein_BIRC2","Drug_erlotinib","1.112e-05","0.0037","1.116e-05","0.0017","-5e-08","0.0022"
"Apoptosis","CNA_BAD","mRNA_BAD","Drug_erlotinib","0.00121372","0.0488","0.00116302","0.0473","5.07e-05","0.0054"
"Apoptosis","CNA_BAD","mRNA_BID","Drug_erlotinib","2.924e-05","0.0035","2.754e-05","0.002","1.7e-06","0.0015"
"Apoptosis","CNA_BAD","mRNA_BAK1","Drug_erlotinib","0.00021969","0.0308","-4.62e-06","0.0032","0.00022431","0.0303"
"Apoptosis","CNA_BAD","mRNA_BAX","Drug_erlotinib","9.27e-06","0.0087","-4.41e-06","0.0018","1.368e-05","0.0074"
"Apoptosis","CNA_BAD","mRNA_BIRC2","Drug_erlotinib","-1.35e-06","0.0018","-7.7e-07","8e-04","-5.8e-07","0.001"
"Apoptosis","CNA_BAD","mRNA_BCL2L11","Drug_erlotinib","-9.94e-06","0.004","-1.77e-05","0.002","7.76e-06","0.0024"
"Apoptosis","CNA_BAD","mRNA_CASP7","Drug_erlotinib","2.89e-05","0.0106","3.375e-05","0.0039","-4.85e-06","0.0069"
"Apoptosis","CNA_BAD","mRNA_BCL2L1","Drug_erlotinib","-4.259e-05","0.0079","-5.017e-05","0.005","7.58e-06","0.0031"
"Apoptosis","CNA_BAD","mRNA_BCL2","Drug_erlotinib","1.74e-06","0.0045","-3.12e-06","0.0024","4.87e-06","0.0021"
"Apoptosis","CNA_BAD","Protein_BAD","Drug_erlotinib","4.522e-05","0.0067","2.877e-05","0.0027","1.645e-05","0.0042"
"Apoptosis","CNA_BAD","Protein_BAK1","Drug_erlotinib","-2.285e-05","0.0096","-1.468e-05","0.0024","-8.17e-06","0.0077"
"Apoptosis","CNA_BAD","Protein_BAX","Drug_erlotinib","-6.11e-05","0.005","-4.383e-05","0.0027","-1.727e-05","0.0024"
"Apoptosis","CNA_BAD","Protein_BCL2","Drug_erlotinib","1.089e-05","0.0053","-2.4e-06","0.0021","1.328e-05","0.0033"
"Apoptosis","CNA_BAD","Protein_BCL2L1","Drug_erlotinib","-4.086e-05","0.012","-2.134e-05","0.0039","-1.952e-05","0.0087"
"Apoptosis","CNA_BAD","Protein_BID","Drug_erlotinib","4.545e-05","0.0352","0.00013824","0.0129","-9.279e-05","0.0252"
"Apoptosis","CNA_BAD","Protein_BCL2L11","Drug_erlotinib","1.66e-06","0.0069","2.291e-05","9e-04","-2.125e-05","0.0061"
"Apoptosis","CNA_BAD","Protein_CASP7","Drug_erlotinib","2.733e-05","0.0084","2.408e-05","0.0046","3.24e-06","0.004"
"Apoptosis","CNA_BAD","Protein_BIRC2","Drug_erlotinib","-0.00023997","0.0246","-0.00023246","0.0241","-7.52e-06","8e-04"
"Apoptosis","CNA_BIRC2","mRNA_BAD","Drug_erlotinib","0.00011921","0.0236","7.123e-05","0.0036","4.798e-05","0.0208"
"Apoptosis","CNA_BIRC2","mRNA_BID","Drug_erlotinib","3.12e-06","0.0053","4.16e-06","0.0021","-1.03e-06","0.0033"
"Apoptosis","CNA_BIRC2","mRNA_BAK1","Drug_erlotinib","3.737e-05","0.007","3.612e-05","0.005","1.25e-06","0.0028"
"Apoptosis","CNA_BIRC2","mRNA_BAX","Drug_erlotinib","9.391e-05","0.0122","7.839e-05","0.0106","1.552e-05","0.002"
"Apoptosis","CNA_BIRC2","mRNA_BIRC2","Drug_erlotinib","0.00051009","0.0356","0.0005025","0.0356","7.59e-06","8e-04"
"Apoptosis","CNA_BIRC2","mRNA_BCL2L11","Drug_erlotinib","-1.65e-06","0.0031","-5.93e-06","0.0014","4.28e-06","0.0017"
"Apoptosis","CNA_BIRC2","mRNA_CASP7","Drug_erlotinib","-6.395e-05","0.0295","-4.652e-05","0.0044","-1.743e-05","0.0256"
"Apoptosis","CNA_BIRC2","mRNA_BCL2L1","Drug_erlotinib","-9.355e-05","0.0105","-6.628e-05","0.0032","-2.727e-05","0.0077"
"Apoptosis","CNA_BIRC2","mRNA_BCL2","Drug_erlotinib","1.926e-05","0.005","1.134e-05","0.0022","7.92e-06","0.0028"
"Apoptosis","CNA_BIRC2","Protein_BAD","Drug_erlotinib","4.71e-06","0.0095","-7.03e-06","0.0027","1.175e-05","0.0071"
"Apoptosis","CNA_BIRC2","Protein_BAK1","Drug_erlotinib","2.02e-06","0.0021","3.81e-06","9e-04","-1.79e-06","0.0014"
"Apoptosis","CNA_BIRC2","Protein_BAX","Drug_erlotinib","-4.238e-05","0.0058","-2.689e-05","0.0036","-1.549e-05","0.0024"
"Apoptosis","CNA_BIRC2","Protein_BCL2","Drug_erlotinib","1.004e-05","0.005","1.719e-05","0.0031","-7.16e-06","0.0023"
"Apoptosis","CNA_BIRC2","Protein_BCL2L1","Drug_erlotinib","2.66e-06","0.0028","5.64e-06","0.0011","-2.98e-06","0.0019"
